,180,180
1,179,-1
10,170,-9
19,161,-9
26,154,-7
31,149,-5
35,145,-4
44,136,-9
55,125,-11
58,122,-3
68,112,-10
82,98,-14
98,82,-16
106,74,-8
125,55,-19
137,43,-12
148,32,-11
158,22,-10
166,14,-8
169,11,-3
176,4,-7
181,-1,-5
83,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
183,-3,0
